customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWin, preTheoWPUPD, adjpreTheoWPUPD, postTheoWin, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
7CLA001, 7 Clans - Paradise Casino, 2014-9, 2014-10, 52, 53, 1, 0.019230769230769232, 0.07875, 0.08462468017716399, 0.07694444444444444, 0.08227768768288811, 852519.3433704999, 89.19432343277882, 81.75724546858129, 854717.7582963, 92.19261765681156, 84.85802858379895, 88.93366813140824, 82.20455270977192, 91.89569625714594, 84.52251447776939, 0.033615303178933895, 0.03792670725934957, 0.03330603794910399, 0.028197486533150743, 1.7479957653045624, 1.9721887774861773, 1.7319139733534075, 1.4662692997238385
7CLA002, 7 Clans - Chilocco, 2014-9, 2014-9, 34, 37, 3, 0.08823529411764706, 0.12027777777777778, 0.1270500971845832, 0.10895833333333334, 0.11918333708351408, 824405.8521947, 132.66911042721276, 121.0404921817187, 825249.3183778999, 126.33945474248316, 116.74968060350581, 131.29192146765368, 120.64945697668169, 108.20728720146968, 94.09626467737294, -0.0477100936634552, -0.03544938971142879, -0.17582676838095743, -0.2200854688010802, -0.5407143948524923, -0.4017597500628596, -1.992703374984184, -2.4943019797455754
7CLA002, 7 Clans - Chilocco, 2015-8, 2015-8, 37, 49, 6, 0.16216216216216217, 0.10430555555555555, 0.10840218235180468, 0.105, 0.12537569909154447, 786197.0391093001, 121.38289935298751, 111.10054248781844, 1019419.3205522301, 131.31770199049726, 124.18371950571041, 130.12227883279297, 117.8651274140806, 123.50968955300786, 116.13922685960067, 0.08184680618493753, 0.11775979419116218, -0.05081827139134479, -0.014643012673430942, 0.5047219714737814, 0.7261853975121667, -0.31337934024662617, -0.09029857815282413
7CLA002, 7 Clans - Chilocco, 2016-4, 2016-4, 49, 55, 6, 0.12244897959183673, 0.10590277777777778, 0.11622781170520506, 0.091875, 0.11399222133727605, 1031456.30390185, 132.0010626953993, 122.03856573232787, 999533.14144342, 114.87566273341224, 108.70195714468566, 122.28751343742, 114.07879567104939, 117.14519365590161, 111.28119211102403, -0.12973683402462438, -0.10928191844612405, -0.04205106177214038, -0.024523431752315857, -1.0595174778677658, -0.8924690006433464, -0.3434170044724798, -0.20027469264391284
7CLA004, Otoe Missouria-First Council Casino, 2014-6, 2014-8, 139, 142, 3, 0.02158273381294964, 0.10715277777777778, 0.1049532560034182, 0.09576388888888888, 0.11318680252429143, 2014806.129924, 116.92236130013927, 105.70238752265553, 2017735.7491438, 110.9743564593444, 104.60354940716643, 112.73386722376974, 101.85059542827298, 106.82477175228247, 99.09769228859312, -0.05087140538948199, -0.0103955846338247, -0.05241632897909972, -0.02702883697541618, -2.357041783045999, -0.4816620880338778, -2.428623242698287, -1.252336113194283
7CLA004, Otoe Missouria-First Council Casino, 2015-3, 2015-3, 142, 143, 1, 0.007042253521126761, 0.09576388888888888, 0.11318680252429143, 0.0901388888888889, 0.10058028788760963, 2017735.7491438, 110.9743564593444, 104.60354940716643, 2018213.2927516, 105.98189847984037, 98.34190926848711, 106.82477175228247, 99.09769228859312, 105.31245181956625, 96.93992847013811, -0.04498749205482468, -0.05986068516954478, -0.014157015343062608, -0.021774107636847406, -6.3882238717851045, -8.500217294075359, -2.0102961787148903, -3.0919232844323314
7CLA004, Otoe Missouria-First Council Casino, 2016-4, 2016-4, 136, 148, 12, 0.08823529411764706, 0.09743055555555556, 0.10253239783181489, 0.08090277777777778, 0.09472389442560905, 2109562.6950163, 117.60956096428053, 107.52941666192785, 2030950.4744447798, 100.5869186491397, 93.96398096386855, 113.57661927858616, 103.82180117419412, 94.48064484176118, 88.48904895334903, -0.1447385924713282, -0.1261555778797628, -0.16813297101215408, -0.1476833579020607, -1.6403707146750528, -1.429763215970645, -1.9055070048044127, -1.673744722890021
ABSE001, Absentee Shawnee-Thunderbird, 2015-3, 2015-4, 2, 13, 10, 5.0, 0.0, 0.0, 0.12118055555555556, 0.16884387206861415, 0.0, 0.0, 0.0, 294669.1714948, 123.18945296605352, 120.07561964704013, 0.0, 0.0, 121.07183528428092, 116.64521668270487, 0, 0, 0, 0, 0, 0, 0, 0
BKFT001, Blackfeet Nation-Glacier Peaks Casino, 2014-2, 2014-2, 16, 20, 4, 0.25, 0.07097222222222223, 0.1125673228812127, 0.06652777777777778, 0.09153629590279777, 194150.04707916002, 65.99253809624746, 66.5620386803501, 218298.49115950998, 62.855885735534116, 61.83231251506766, 71.01835486063902, 72.98111964034669, 57.131298589116035, 55.796633949832994, -0.0475304095159768, -0.07105741138723125, -0.1955417905522295, -0.23546481302560712, -0.1901216380639072, -0.284229645548925, -0.782167162208918, -0.9418592521024285
BKFT001, Blackfeet Nation-Glacier Peaks Casino, 2015-3, 2015-3, 20, 22, 2, 0.1, 0.07375, 0.11327895623701974, 0.06569444444444444, 0.09771337576414946, 238267.79921356, 69.58755818153037, 70.45351259044978, 246241.258642, 61.591110215607806, 61.84261071453226, 68.30991530373832, 68.18524288145152, 63.48248874437219, 64.47279625606804, -0.11491203564094804, -0.12222104419368228, -0.07066948535803477, -0.05444648238384992, -1.1491203564094803, -1.2222104419368227, -0.7066948535803477, -0.5444648238384991
BKFT001, Blackfeet Nation-Glacier Peaks Casino, 2016-1, 2016-1, 22, 26, 4, 0.18181818181818182, 0.06736111111111111, 0.11172002520831603, 0.064375, 0.0794610097758601, 251725.4044775, 62.66502476412746, 64.64438395720688, 264368.15054129995, 60.23425621811346, 58.13333837737525, 62.67276823500125, 64.00169204990291, 51.5782319434951, 50.157451855960346, -0.038789876093777466, -0.10072097808437304, -0.17702323678930967, -0.2163105341519415, -0.21334431851577607, -0.5539653794640517, -0.9736278023412032, -1.1897079378356783
CAFIR01, Fort Independence, 2015-10, 2015-10, 2, 5, 3, 1.5, 0.021666666666666667, 0.03232370887519997, 0.014652777777777778, 0.019579994382652097, 8305.816118456, 21.74297413208377, 21.7709318361911, 10970.178639329999, 14.905134020828802, 14.642487429062498, 34.10471204188482, 30.931660802034028, 25.058423913043477, 23.530011701769016, -0.31448504099377567, -0.32742945780936067, -0.2652503887947031, -0.23929038752999282, -0.20965669399585043, -0.21828630520624046, -0.17683359252980205, -0.1595269250199952
CHER006, Cherokee Casino - Catoosa Smoke Shop, 2014-7, 2014-7, 9, 12, 1, 0.1111111111111111, 0.2740972222222222, 0.3373191256015961, 0.2598611111111111, 0.4035425272332931, 557744.2375634, 342.3844306712093, 326.43254681878454, 702534.1751843, 318.17670977549824, 318.60165693727356, 382.35420503376304, 367.56785455610805, 326.1897644927536, 332.6195416624456, -0.07070333440178439, -0.023989304858924552, -0.1468911281779938, -0.09507989466561931, -0.6363300096160596, -0.21590374373032098, -1.3220201536019442, -0.8557190519905739
CHER007, Cherokee Casino - Tahlequah, 2016-2, 2016-3, 42, 43, 1, 0.023809523809523808, 0.18472222222222223, 0.2860982160152796, 0.17131944444444444, 0.23761184631618956, 1594186.8204460999, 215.72216785468197, 216.82960722523683, 1274569.9085131, 204.58586011446226, 199.93658116865168, 207.50365358592694, 207.19882761388362, 205.49117174959872, 201.92731765020866, -0.051623381365801566, -0.0779092222356752, -0.009698536876580125, -0.025441794359466415, -2.168182017363666, -3.2721873338983585, -0.4073385488163653, -1.0685553630975895
CHER008, Cherokee Casino - Sallisaw, 2015-5, 2015-5, 20, 23, 3, 0.15, 0.32729166666666665, 0.4076764952029607, 0.27881944444444445, 0.43959156314287257, 1371013.8460143, 376.1354858749794, 360.539846142963, 1311063.7194329002, 319.22661783123937, 322.33833111960064, 345.79890260631004, 336.5363459003018, 339.1251521792062, 342.2938367397614, -0.1512988542183321, -0.10595643014784692, -0.019299513031427507, 0.017108080329502468, -1.008659028122214, -0.7063762009856461, -0.1286634202095167, 0.1140538688633498
CHER010, Cherokee Casino - West Siloam Springs, 2014-11, 2015-2, 93, 108, 15, 0.16129032258064516, 0.24770833333333334, 0.3259190046177592, 0.26305555555555554, 0.30187362514087746, 4870414.021567, 284.78622509455033, 273.8810577357619, 5760888.982468, 303.23660293020316, 282.51277633629854, 289.5592328382645, 278.5963989396562, 290.9057795557427, 271.04675799310456, 0.06478676357863594, 0.03151630372650476, 0.004650332521879261, -0.027098846127536873, 0.40167793418754283, 0.19540108310432952, 0.02883206163565142, -0.1680128459907286
CHER012, Cherokee Casino - Ramona, 2015-2, 2015-3, 46, 47, 1, 0.021739130434782608, 0.1820138888888889, 0.2625738713113787, 0.16479166666666667, 0.22261500915465382, 1625358.9152004002, 219.25791382711455, 217.01587033010927, 1461408.9452991001, 200.0012242095388, 195.47749654546323, 203.10535545663024, 199.36655889643868, 207.68523333789517, 204.1801106110579, -0.08782665711559992, -0.09924792021838487, 0.022549271883886345, 0.024144228306210727, -4.040026227317597, -4.565404330045704, 1.0372665066587718, 1.1106345020856936
CHER013, Cherokee Casino - Ft. Gibson, 2015-2, 2015-2, 44, 46, 2, 0.045454545454545456, 0.1836111111111111, 0.2742213731414377, 0.19340277777777778, 0.2519000348336527, 1780012.8762067, 218.647939590554, 217.62625445257345, 1936245.353589, 231.85790367488923, 223.66569853502574, 212.45571797076525, 215.36945119111903, 233.9991617770327, 226.97055878565442, 0.060416595322473995, 0.02775144983147448, 0.10140204279760505, 0.05386607771146039, 1.3291650970944278, 0.6105318962924385, 2.230844941547311, 1.1850537096521285
CHER013, Cherokee Casino - Ft. Gibson, 2015-10, 2015-12, 46, 49, 3, 0.06521739130434782, 0.1907638888888889, 0.2717378535174267, 0.19604166666666667, 0.2340725836176705, 1900117.130872, 228.62677546288052, 225.69135140993865, 1969718.31093898, 241.65357759035456, 229.09129204713778, 230.59860425941523, 225.87568443701122, 241.79464114832538, 230.00527582383117, 0.05697846239181663, 0.015064558814323337, 0.04855205834773837, 0.01828258494097248, 0.8736697566745216, 0.2309899018196245, 0.7444648946653216, 0.2803329690949114
CHEY001, Cheyenne-Arapaho - Lucky Star Casino - Concho, 2015-6, 2015-6, 85, 86, 1, 0.011764705882352941, 0.0973611111111111, 0.1060265798650226, 0.08875, 0.1265474103862024, 1604869.2102708002, 103.90192996703355, 96.2564786861647, 1534083.3097138, 96.97113209316055, 95.65668429908342, 107.70736760326298, 98.95023735817686, 106.95442477876107, 107.20885773768647, -0.0667051889803398, -0.0062312105664788404, -0.00699063435730189, 0.08346236047535006, -5.669941063328882, -0.5296528981507015, -0.5942039203706607, 7.0943006404047555
CHEY003, Cheyenne-Arapaho - Feather Warrior Casino - Watonga, 2015-3, 2015-3, 15, 16, 1, 0.06666666666666667, 0.1220138888888889, 0.18197505807162617, 0.10902777777777778, 0.1601964573515433, 334850.06225609995, 122.6107880835225, 122.83707859941413, 319070.4006554, 110.1762433202348, 109.91020711940608, 100.83852068839253, 103.95266155811426, 107.98653314917127, 105.10979954378108, -0.10141476910512373, -0.10523590781708562, 0.07088573307086936, 0.011131393543203595, -1.521221536576856, -1.5785386172562843, 1.0632859960630403, 0.16697090314805393
CHIC001, Chickasaw Nation - Chisholm Trail Casino, 2014-11, 2014-12, 20, 22, 2, 0.1, 0.19944444444444445, 0.30608128203001833, 0.19152777777777777, 0.23499112355106264, 904364.4689850999, 247.70322349632974, 248.29109989783618, 927867.9725532999, 238.22027536670086, 227.95981105799743, 241.75102711585868, 243.3504938539304, 251.03971758664957, 240.638121661181, -0.03828350715738421, -0.0818848877313944, 0.038422548113267424, -0.011145948996419474, -0.3828350715738421, -0.8188488773139441, 0.38422548113267424, -0.11145948996419473
CHIC001, Chickasaw Nation - Chisholm Trail Casino, 2015-4, 2015-4, 22, 23, 1, 0.045454545454545456, 0.21333333333333335, 0.2897310626666893, 0.1465972222222222, 0.2234785579690546, 973266.2065503999, 264.33085457642585, 258.5651754745519, 741947.4899646, 183.332713112083, 183.42720668724982, 281.8669337316676, 276.2581391280554, 181.5004966641957, 179.888990370467, -0.3064271161009086, -0.29059585711571273, -0.3560773721795228, -0.3488373195510373, -6.741396554219989, -6.3931088565456795, -7.833702187949501, -7.67442103012282
CHIC001, Chickasaw Nation - Chisholm Trail Casino, 2016-2, 2016-3, 23, 40, 4, 0.17391304347826086, 0.13680555555555557, 0.22223423273665416, 0.116875, 0.16878080346530547, 687551.8805597001, 170.14399419938135, 173.2236080397674, 1031457.31023938, 152.42460621241023, 150.4306131904389, 173.28934174709232, 174.898860559807, 144.38640756612972, 140.8799188222285, -0.10414348193922648, -0.13158134221575546, -0.16679002810885554, -0.19450636572869873, -0.5988250211505523, -0.7565927177405939, -0.9590426616259194, -1.1184116029400177
CHIC002, Chickasaw Nation - Goldsby, 2014-11, 2014-11, 7, 9, 2, 0.2857142857142857, 0.19340277777777778, 0.29241300356660954, 0.21215277777777777, 0.24806194561346548, 308947.2112836, 244.4202620914557, 243.74633125443037, 392381.14447120007, 268.20310626876284, 252.84350899706084, 245.9003164556962, 246.22307320557755, 267.1437115516063, 254.93618737638414, 0.09730307943294905, 0.03732231658959631, 0.08639027148115735, 0.035387074238699814, 0.3405607780153217, 0.1306281080635871, 0.30236595018405077, 0.12385475983544936
CHIC002, Chickasaw Nation - Goldsby, 2016-2, 2016-2, 9, 16, 1, 0.1111111111111111, 0.18048611111111112, 0.27429823004602766, 0.15125, 0.1972876345080477, 335955.5330992, 229.3211830028669, 228.65988437822526, 585728.81139595, 212.45150939280015, 205.0609542012405, 232.94752218430037, 228.23558525644367, 166.18436343852014, 158.7441627603591, -0.07356352077538272, -0.10320537964564823, -0.2866017123503011, -0.30447233904390747, -0.6620716869784445, -0.9288484168108341, -2.5794154111527097, -2.7402510513951674
CHIC003, Chickasaw Nation - New Castle Casino, 2015-7, 2015-12, 116, 144, 22, 0.1896551724137931, 0.17847222222222223, 0.20700283633348177, 0.1607638888888889, 0.18329324350788406, 4727819.547842001, 225.5531486017843, 212.5047997948094, 5381115.7080882, 211.96343435964076, 198.52156558715484, 222.32831544296548, 209.08183705376655, 210.29715720644424, 196.86243619341, -0.06025060756804722, -0.06580196880802931, -0.054114376805988185, -0.05844314854194758, -0.3176850217224308, -0.3469558355332455, -0.28533035043157406, -0.3081547832211782
CHIC006, Chickasaw Nation - Gold Mountain, 2014-10, 2014-10, 13, 14, 1, 0.07692307692307693, 0.2771527777777778, 0.41988665329194025, 0.2751388888888889, 0.3570438570856181, 767473.1862918, 343.69600819158086, 344.7758887237797, 784367.1519506, 339.5528796322944, 330.09736319835497, 318.5373936408419, 317.62195393470665, 330.1187748917749, 315.1031551424935, -0.012054631012697256, -0.042574106848824816, 0.03635799589668029, -0.007930178506272065, -0.15671020316506432, -0.5534633890347226, 0.47265394665684374, -0.10309232058153685
CHIC007, Chickasaw Nation - Treasure Valley, 2015-4, 2015-4, 12, 14, 2, 0.16666666666666666, 0.1520138888888889, 0.1930127570196468, 0.13743055555555556, 0.19022683429610937, 428699.01178675, 196.38067420373338, 188.42054688039397, 456098.7575761, 178.79214330697766, 173.78281184296355, 195.19857993586808, 185.15321536163992, 185.5926499411995, 179.7735710690043, -0.08956345102730755, -0.07768651179386606, -0.049211064946397515, -0.029055095166066306, -0.5373807061638454, -0.46611907076319636, -0.2952663896783851, -0.17433057099639784
CHIC008, Chickasaw Nation - Texoma, 2014-2, 2014-2, 27, 28, 1, 0.037037037037037035, 0.13923611111111112, 0.1954904143454249, 0.14368055555555556, 0.16546546593601433, 757670.6590549, 151.7769749709335, 147.90771167560095, 943315.0273998, 182.6360169215489, 170.07063338596322, 112.83353365384616, 113.1142352451917, 189.79651500484027, 172.33181670677638, 0.20331833571281246, 0.14984290852238433, 0.68209315846744, 0.5235201505205944, 5.489595064245937, 4.0457585301043775, 18.41651527862088, 14.13504406405605
CHIC008, Chickasaw Nation - Texoma, 2014-11, 2014-11, 28, 29, 1, 0.03571428571428571, 0.13729166666666667, 0.18172608108141455, 0.13923611111111112, 0.15173793458659635, 911720.8463802001, 176.65585087777563, 169.58374819257895, 940181.1012135001, 178.13207677406217, 165.1685389918719, 163.34353807401666, 155.88781084832397, 177.2872906403941, 163.86017423950358, 0.00835650723681892, -0.02603556795839385, 0.0853645802630958, 0.05114167264133678, 0.23398220263092975, -0.7289959028350278, 2.3902082473666826, 1.4319668339574299
CHIC009, Chickasaw Nation - Ada Travel Stop, 2014-9, 2014-9, 5, 7, 2, 0.4, 0.21229166666666666, 0.2997628265719697, 0.19215277777777778, 0.28377288926308336, 266027.9756124, 262.8734936881423, 259.54694414565216, 278579.51481890003, 244.7974646914763, 245.12371705659052, 263.92687747035575, 259.6615668584981, 256.5604569420035, 251.12110375852373, -0.06876322425307099, -0.055570783684386726, -0.027910838785942315, -0.03289074776564238, -0.17190806063267747, -0.13892695921096682, -0.06977709696485579, -0.08222686941410595
CHIC009, Chickasaw Nation - Ada Travel Stop, 2015-3, 2015-3, 7, 8, 1, 0.14285714285714285, 0.18965277777777778, 0.30753106661823065, 0.17027777777777778, 0.25969923965785324, 258601.55890300003, 241.4580381914099, 247.6078920379085, 313646.698797, 214.23954835860656, 215.6545728030738, 257.296918767507, 256.24252875336134, 209.36680327868854, 215.191380034153, -0.11272554865714005, -0.1290480645501505, -0.18628328593444227, -0.16020427568727633, -0.7890788405999803, -0.9033364518510535, -1.303983001541096, -1.1214299298109343
CHIC012, Chickasaw Nation - Madill Gaming Ctr, 2014-12, 2014-12, 3, 5, 2, 0.6666666666666666, 0.23354166666666668, 0.38252231701110606, 0.238125, 0.2940356174676975, 163541.89785442, 297.8905243249909, 304.9554883702003, 236045.76793862, 305.75876675987047, 293.93806591134717, 295.20582877959924, 297.82296587542805, 230.47683937823837, 218.62556009576426, 0.026413201469595964, -0.036127969093897976, -0.21926731483912384, -0.2659210835096918, 0.03961980220439395, -0.05419195364084697, -0.3289009722586858, -0.3988816252645377
CHIC013, Chickasaw Nation - Riverwind Casino, 2015-7, 2015-7, 126, 128, 2, 0.015873015873015872, 0.12527777777777777, 0.13528314869017996, 0.10708333333333334, 0.15244807959936774, 3632732.156603, 163.3569636029769, 150.2911677613994, 3499526.5945081, 143.54676543369703, 141.22131455992044, 165.7583923914021, 153.1157758767875, 141.0379954058821, 137.8332213730957, -0.12126938290446317, -0.06034854433946619, -0.14913511544651212, -0.09981045007399943, -7.63997112298118, -3.8019582933863703, -9.395512273130263, -6.288058354661964
CHIC014, Chickasaw Nation - Black Gold Casino, 2014-6, 2014-6, 9, 10, 1, 0.1111111111111111, 0.15034722222222222, 0.18852566856474498, 0.1388888888888889, 0.21828674829548445, 292771.0449495, 176.5808473760555, 169.76967498305186, 297576.04999031004, 176.28912914117893, 177.80499223680687, 178.56815440289506, 175.74275568099517, 195.71741706161137, 196.1176140778732, -0.0016520378014456864, 0.047330698221323554, 0.09603763177180642, 0.11593569429320937, -0.014868340213011179, 0.425976283991912, 0.8643386859462578, 1.0434212486388843
CHIC014, Chickasaw Nation - Black Gold Casino, 2014-10, 2015-2, 10, 14, 4, 0.4, 0.13722222222222222, 0.19672477631020488, 0.11541666666666667, 0.1510989491327396, 286803.31175719, 174.24259523523085, 171.76007134285544, 289380.75930319994, 147.2675619863613, 142.1254100273283, 220.2442284325638, 221.57934153821384, 152.0312213740458, 150.23049869109417, -0.15481308237203847, -0.17253521778279024, -0.30971529898411854, -0.32200133077304394, -0.38703270593009614, -0.4313380444569756, -0.7742882474602963, -0.8050033269326098
